NUMBER,GLOSS,CONCEPTICON_ID,CONCEPTICON_GLOSS,MATCH_QUALITY
,,,,
278,vomit (verb only),1278,VOMIT (verb),2
,,,,
279,wash (clothing),1453,WASH (verb),3
,,,,
280,water,948,WATER (noun),3
,,,,
281,weaver,???,???,!
,,,,
282,weep (verb only),1839,???,8
,,,,
283,wet (adjective),1726,WET (adjective),2
,,,,
284,what?,1236,WHAT,2
,,,,
285,when? (e.g. what day?),1238,WHEN,2
,,,,
286,where? (location),1237,WHERE,2
,,,,
287,which?,727,WHICH,2
,,,,
288,"white, light-colored",1335,WHITE (adjective),3
,,,,
289,who?,1235,WHO,2
,,,,
290,why?,1270,WHY,2
,,,,
291,wide,1243,WIDE (adjective),3
,,,,
292,wide (passageway),1243,WIDE (adjective),3
,,,,
293,wife,1199,WIFE (noun),3
,,,,
295,wind (airflow),960,WIND (noun),3
,,,,
297,wing (of bird),1257,WING (noun),3
,,,,
298,with what?,1236,WHAT,5
,,,,
299,"woman, female person",962,WOMAN (noun),3
299,"woman, female person",2105,FEMALE PERSON (noun),3
,,,,
300,wood,1803,WOOD (noun),3
,,,,
301,world (of the living),965,WORLD (noun),3
,,,,
302,year,1226,YEAR (noun),3
,,,,
303,yellow,1424,YELLOW (adjective),3
,,,,
304,yesterday,1174,YESTERDAY,2
,,,,
