ID	CONCEPT	DOCULECT	COUNTERPART	TOKENS	VARIANTS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID	ALIGNMENT
3071	easy (work)	Najamba	bálláŋgó	b a ˦ l l a ˦ ŋ ɡ o ˦	b a ˦ l l ɛ ˦ // b u ˨ r i ˦ j e ˨ // b u ˩˥ r ŋ ɡ o ˨	1 7 8 5 5 7 8 4 1 7 8	AXTMBYTMBYT	PA6LLA6NKU6	10	10.P.C 10.A.V 10.6.T 10.L.c 10.L.C 10.A.V 10.6.T 10.N.c 10.K.C 10.U.V 10.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0 1.1 1.3 3.0 1.0	ba˦lla˦ŋɡo˦	0	400	b a ˦ l l a ˦ ŋ ɡ o ˦
3075	easy (work)	Nanga	nà:rⁿá	n aː ˨ r̃ a ˦		4 7 8 5 7 8	AXTBYT	NA6RA6	11	11.N.C 11.A.V 11.6.T 11.R.C 11.A.V 11.6.T	1.6 3.0 1.0 1.3 3.0 1.0	naː˨r̃a˦	0	395	n aː ˨ r̃ a ˦
3076	easy (work)	Penange	jámá	dʒ a ˦ m a ˦	m aː ˨ ɡ e ˨ # w o ˩˥ l ɡ a ˨	1 7 8 4 7 8	AXTBYT	TA6MA6	12	12.T.C 12.A.V 12.6.T 12.M.C 12.A.V 12.6.T	1.6 3.0 1.0 1.3 3.0 1.0	dʒa˦ma˦	1	399	dʒ a ˦ m a ˦
3078	easy (work)	Perge_Tegu	nà:rⁿá	n aː ˨ r̃ a ˦		4 7 8 5 7 8	AXTBYT	NA6RA6	13	13.N.C 13.A.V 13.6.T 13.R.C 13.A.V 13.6.T	1.6 3.0 1.0 1.3 3.0 1.0	naː˨r̃a˦	0	395	n aː ˨ r̃ a ˦
3080	easy (work)	Tiranige	má:gáná	m aː ˦ ɡ a ˦ n a ˦		4 7 8 1 7 8 4 7 8	AXTBYTBYT	MA6KA6NA6	15	15.M.C 15.A.V 15.6.T 15.K.C 15.A.V 15.6.T 15.N.C 15.A.V 15.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	maː˦ɡa˦na˦	0	398	m aː ˦ ɡ a ˦ n a ˦
3081	easy (work)	Togo_Kan	nà:rⁿá	n aː ˨ r̃ a ˦		4 7 8 5 7 8	AXTBYT	NA6RA6	16	16.N.C 16.A.V 16.6.T 16.R.C 16.A.V 16.6.T	1.6 3.0 1.0 1.3 3.0 1.0	naː˨r̃a˦	0	395	n aː ˨ r̃ a ˦
3082	easy (work)	Tommo_So	bɛ̀rú	b ɛ ˨ r u ˦	w ɛ ˦ j	1 7 8 5 7 8	AXTBYT	PE6RY6	17	17.P.C 17.E.V 17.6.T 17.R.C 17.Y.V 17.6.T	1.6 3.0 1.0 1.3 3.0 1.0	bɛ˨ru˦	0	396	b ɛ ˨ r u ˦
3084	easy (work)	Toro_Tegu	zɔ́rɛ́	z ɔ ˦ r ɛ ˦		3 7 8 5 7 8	AXTBYT	SU6RE6	18	18.S.C 18.U.V 18.6.T 18.R.C 18.E.V 18.6.T	1.6 3.0 1.0 1.3 3.0 1.0	zɔ˦rɛ˦	0	397	z ɔ ˦ r ɛ ˦
3085	easy (work)	Yanda_Dom	nà:rⁿà	n aː ˨ r̃ a ˨		4 7 8 5 7 8	AXTBYT	NA6RA6	19	19.N.C 19.A.V 19.6.T 19.R.C 19.A.V 19.6.T	1.6 3.0 1.0 1.3 3.0 1.0	naː˨r̃a˨	0	395	n aː ˨ r̃ a ˨
3086	easy (work)	Yorno_So	nà:rⁿá	n aː ˨ r̃ a ˦		4 7 8 5 7 8	AXTBYT	NA6RA6	20	20.N.C 20.A.V 20.6.T 20.R.C 20.A.V 20.6.T	1.6 3.0 1.0 1.3 3.0 1.0	naː˨r̃a˦	0	395	n aː ˨ r̃ a ˦
3087	easy (work)	Tebul_Ure	nà:rⁿá	n aː ˨ r̃ a ˦		4 7 8 5 7 8	AXTBYT	NA6RA6	14	14.N.C 14.A.V 14.6.T 14.R.C 14.A.V 14.6.T	1.6 3.0 1.0 1.3 3.0 1.0	naː˨r̃a˦	0	395	n aː ˨ r̃ a ˦
3088	easy (work)	Donno_So	nàná	n a ˨ n a ˦		4 7 8 4 7 8	AXTBYT	NA6NA6	6	6.N.C 6.A.V 6.6.T 6.N.C 6.A.V 6.6.T	1.6 3.0 1.0 1.3 3.0 1.0	na˨na˦	0	395	n a ˨ n a ˦
3090	eat (meal)	Bangime	dìjá	d i ˨ dʒ a ˦		1 7 8 1 7 8	AXTBYT	TI6TA6	1	1.T.C 1.I.V 1.6.T 1.T.C 1.A.V 1.6.T	1.6 3.0 1.0 1.3 3.0 1.0	di˨dʒa˦	0	412	d i ˨ dʒ a ˦
3091	eat (meal)	Bankan_Tey	ɲɛ́	ɲ ɛ ˦		4 7 8	AXT	NE6	2	2.N.C 2.E.V 2.6.T	1.6 3.0 1.0	ɲɛ˦	0	404	ɲ ɛ ˦
3092	eat (meal)	Ben_Tey	ɲɛ́	ɲ ɛ ˦		4 7 8	AXT	NE6	3	3.N.C 3.E.V 3.6.T	1.6 3.0 1.0	ɲɛ˦	0	404	ɲ ɛ ˦
3093	eat (meal)	Bunoge	jɛ̂:	dʒ ɛː ˥˩		1 7 8	AXT	TE6	4	4.T.C 4.E.V 4.6.T	1.6 3.0 1.0	dʒɛː˥˩	0	411	dʒ ɛː ˥˩
3094	eat (meal)	Dogul_Dom	ɲɛ̀ɛ́	ɲ ɛː ˩˥		4 7 0	AXN	NE0	5	5.N.C 5.E.V 5.0.c	2.0 1.5 0.8	ɲɛː˩˥	0	404	ɲ ɛː ˩˥
3095	eat (meal)	Gourou	ɲɛ́:	ɲ ɛː ˦		4 7 8	AXT	NE6	7	7.N.C 7.E.V 7.6.T	1.6 3.0 1.0	ɲɛː˦	0	404	ɲ ɛː ˦
3096	eat (meal)	Jamsay_Douentza	ɲɛ́:	ɲ ɛː ˦		4 7 8	AXT	NE6	8	8.N.C 8.E.V 8.6.T	1.6 3.0 1.0	ɲɛː˦	0	404	ɲ ɛː ˦
3097	eat (meal)	Mombo	ɲɛ́:	ɲ ɛː ˦		4 7 8	AXT	NE6	9	9.N.C 9.E.V 9.6.T	1.6 3.0 1.0	ɲɛː˦	0	404	ɲ ɛː ˦
3098	eat (meal)	Najamba	kwɛ́	k w ɛ ˦		1 6 7 8	ACXT	KWE6	10	10.K.C 10.W.C 10.E.V 10.6.T	1.6 1.2 3.0 1.0	kwɛ˦	0	410	k w ɛ ˦
3099	eat (meal)	Nanga	kɔ́:	k ɔː ˦		1 7 8	AXT	KU6	11	11.K.C 11.U.V 11.6.T	1.6 3.0 1.0	kɔː˦	0	409	k ɔː ˦
3100	eat (meal)	Penange	ɲɛ́:	ɲ ɛː ˦		4 7 8	AXT	NE6	12	12.N.C 12.E.V 12.6.T	1.6 3.0 1.0	ɲɛː˦	0	404	ɲ ɛː ˦
3101	eat (meal)	Perge_Tegu	ɲɛ́:	ɲ ɛː ˦		4 7 8	AXT	NE6	13	13.N.C 13.E.V 13.6.T	1.6 3.0 1.0	ɲɛː˦	0	404	ɲ ɛː ˦
3102	eat (meal)	Tebul_Ure	ɲɛ́	ɲ ɛ ˦		4 7 8	AXT	NE6	14	14.N.C 14.E.V 14.6.T	1.6 3.0 1.0	ɲɛ˦	0	404	ɲ ɛ ˦
3103	eat (meal)	Tiranige	ɲɔ́:	ɲ ɔː ˦		4 7 8	AXT	NU6	15	15.N.C 15.U.V 15.6.T	1.6 3.0 1.0	ɲɔː˦	0	404	ɲ ɔː ˦
3104	eat (meal)	Togo_Kan	ɲí:	ɲ iː ˦		4 7 8	AXT	NI6	16	16.N.C 16.I.V 16.6.T	1.6 3.0 1.0	ɲiː˦	0	404	ɲ iː ˦
3105	eat (meal)	Tommo_So	ńyɛ́	n ˦ j ɛ ˦		4 8 6 7 8	ATBYT	N6JE6	17	17.N.C 17.6.T 17.J.C 17.E.V 17.6.T	1.6 1.0 1.3 3.0 1.0	n˦jɛ˦	0	408	n ˦ j ɛ ˦
3107	eat (meal)	Toro_Tegu	lɛ́	l ɛ ˦	l i ˦	5 7 8	AXT	LE6	18	18.L.C 18.E.V 18.6.T	1.6 3.0 1.0	lɛ˦	0	407	l ɛ ˦
3109	eat (meal)	Yanda_Dom	ʔə́ɲálì	ʔ ə ˦ ɲ a ˦ l i ˨	ʔ ə ˦ ɲ ɛ ˦	1 7 8 4 7 8 5 7 8	AXTBYTBYT	HE6NA6LI6	19	19.H.C 19.E.V 19.6.T 19.N.C 19.A.V 19.6.T 19.L.C 19.I.V 19.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ʔə˦ɲa˦li˨	0	406	ʔ ə ˦ ɲ a ˦ l i ˨
3111	eat (meal)	Yorno_So	ká:	k aː ˦		1 7 8	AXT	KA6	20	20.K.C 20.A.V 20.6.T	1.6 3.0 1.0	kaː˦	0	405	k aː ˦
3112	eat (meal)	Donno_So	ɲâ:	ɲ aː ˥˩	ɲ ɛ ˦ ɛ ˨	4 7 8	AXT	NA6	6	6.N.C 6.A.V 6.6.T	1.6 3.0 1.0	ɲaː˥˩	0	404	ɲ aː ˥˩
3115	egg	Bangime	kúùⁿ	k ũː ˥˩		1 7 8	AXT	KY6	1	1.K.C 1.Y.V 1.6.T	1.6 3.0 1.0	kũː˥˩	0	415	k ũː ˥˩
3116	egg	Bankan_Tey	tàrî:	t a ˨ r iː ˥˩		1 7 8 5 7 8	AXTBYT	TA6RI6	2	2.T.C 2.A.V 2.6.T 2.R.C 2.I.V 2.6.T	1.6 3.0 1.0 1.3 3.0 1.0	ta˨riː˥˩	0	413	t a - ˨ r iː ˥˩
3117	egg	Ben_Tey	tàrî:	t a ˨ r iː ˥˩		1 7 8 5 7 8	AXTBYT	TA6RI6	3	3.T.C 3.A.V 3.6.T 3.R.C 3.I.V 3.6.T	1.6 3.0 1.0 1.3 3.0 1.0	ta˨riː˥˩	0	413	t a - ˨ r iː ˥˩
3118	egg	Bunoge	póléŋgè	p o ˦ l e ˦ ŋ ɡ e ˨		1 7 8 5 7 8 4 1 7 8	AXTBYTMBYT	PU6LE6NKE6	4	4.P.C 4.U.V 4.6.T 4.L.C 4.E.V 4.6.T 4.N.c 4.K.C 4.E.V 4.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.1 1.3 3.0 1.0	po˦le˦ŋɡe˨	0	414	p o ˦ l - - e ˦ ŋ ɡ e ˨
3119	egg	Dogul_Dom	púlɔ̀	p u ˦ l ɔ ˨		1 7 8 5 7 8	AXTBYT	PY6LU6	5	5.P.C 5.Y.V 5.6.T 5.L.C 5.U.V 5.6.T	1.6 3.0 1.0 1.3 3.0 1.0	pu˦lɔ˨	0	414	p u ˦ l - - ɔ ˨ - - - -
3120	egg	Gourou	tárú	t a ˦ r u ˦		1 7 8 5 7 8	AXTBYT	TA6RY6	7	7.T.C 7.A.V 7.6.T 7.R.C 7.Y.V 7.6.T	1.6 3.0 1.0 1.3 3.0 1.0	ta˦ru˦	0	413	t a - ˦ r u ˦
3121	egg	Jamsay_Douentza	tárú	t a ˦ r u ˦		1 7 8 5 7 8	AXTBYT	TA6RY6	8	8.T.C 8.A.V 8.6.T 8.R.C 8.Y.V 8.6.T	1.6 3.0 1.0 1.3 3.0 1.0	ta˦ru˦	0	413	t a - ˦ r u ˦
3122	egg	Mombo	pólè	p o ˦ l e ˨		1 7 8 5 7 8	AXTBYT	PU6LE6	9	9.P.C 9.U.V 9.6.T 9.L.C 9.E.V 9.6.T	1.6 3.0 1.0 1.3 3.0 1.0	po˦le˨	0	414	p o ˦ l - - e ˨ - - - -
3123	egg	Najamba	pòlé	p o ˨ l e ˦	p o ˩˥ l ŋ ɡ o ˦	1 7 8 5 7 8	AXTBYT	PU6LE6	10	10.P.C 10.U.V 10.6.T 10.L.C 10.E.V 10.6.T	1.6 3.0 1.0 1.3 3.0 1.0	po˨le˦	0	414	p o ˨ l - - e ˦ - - - -
3125	egg	Nanga	tà:rî	t aː ˨ r i ˥˩		1 7 8 5 7 8	AXTBYT	TA6RI6	11	11.T.C 11.A.V 11.6.T 11.R.C 11.I.V 11.6.T	1.6 3.0 1.0 1.3 3.0 1.0	taː˨ri˥˩	0	413	t aː - ˨ r i ˥˩
